Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,buzzer_P4mm_9mm,1,Buzzer,
"C1, C2, C3",1206,3,0.1uF,
J1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Conn_01x02,
J2,Jack_3.5mm_CUI_SJ1-3515N_Horizontal_RENAME,1,Audio Jack,
J3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Keyer Jack,
J4,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Radio Jack,
Q1,TO-92_Inline_Wide,1,2N3904,
Q2,TO-92_Inline_Wide,1,2N7000,
RV1,TRIM_3352T-1-103LF,1,Vol Knob,
SSD1,ssd1306_i2c_display,1,SSD1306,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
TP1,TestPoint_Pad_D2.0mm,1,UART1 RX,
TP2,TestPoint_Pad_D2.0mm,1,UART1 TX,
U1,XIAO-RP2350-SMD-MODEL,1,XIAO-RP2350-SMD,
