Designator,Mid X,Mid Y,Rotation,Layer
BZ1,158.0,-109.75,0.0,top
C1,141.725,-79.25,180.0,top
J1,162.125,-82.25,0.0,bottom
J2,172.25,-104.0,180.0,top
J3,142.0,-117.7,90.0,top
J4,142.0,-106.5,90.0,top
JP1,163.0,-113.0,0.0,bottom
JP2,163.0,-116.0,0.0,bottom
JP3,169.0,-113.0,0.0,bottom
JP4,169.0,-116.0,0.0,bottom
Q1,160.75,-92.23,90.0,top
Q2,160.48,-101.25,0.0,top
RV1,175.13,-116.75,270.0,top
SSD1,151.25,-79.5,0.0,top
SW1,172.5,-85.3,90.0,top
SW3,161.15,-120.75,0.0,top
TP1,147.35,-89.65,0.0,bottom
TP2,147.35,-93.1,0.0,bottom
U1,146.275189,-91.5,180.0,top
